#{"t_start": 1715068200.5146403, "env_id": "None"}
r,l,t
-8.002997,30,158.327272
-8.502997,30,158.327272
-6.003,30,158.327272
5.4978995,21,158.565325
5.9983,17,158.883397
5.4979997,20,159.278486
12.483596,164,159.594558
5.9983,17,159.915631
3.997702,23,160.080666
2.997502,25,160.080666
5.4978995,21,160.830836
-6.5030003,30,160.993872
-7.0030003,30,160.993872
-6.003,30,160.993872
-8.002998,30,160.993872
-6.003,30,160.993872
4.9978995,21,161.238927
5.9985,15,161.568002
5.9982,18,161.64802
5.9981,19,161.886073
5.9984,16,162.123128
5.9983,17,162.909303
4.4978,22,162.987321
-6.003,30,163.66698
-6.003,30,163.66698
-16.003,30,163.66698
-14.003001,30,163.66698
-6.003,30,163.66698
5.9982,18,163.822015
3.497602,24,163.822015
4.9978995,21,163.822015
5.9983,17,164.580186
5.9983,17,164.667205
5.9987,13,164.915261
5.9985,15,165.080298
5.9983,17,165.241334
5.9985,15,165.811462
5.9985,15,166.404596
-6.003,30,166.404596
-7.5030003,30,166.404596
-8.002997,30,166.404596
-10.003002,30,166.404596
-8.002997,30,166.404596
5.9982,18,166.814689
2.997502,25,166.979726
3.997702,23,167.379816
5.9984,16,167.696887
4.4978,22,167.858924
5.9987,13,167.858924
4.4978995,21,168.638099
-7.003,30,168.802136
-8.502997,30,168.802136
-8.002997,30,168.802136
-9.502997,30,168.802136
-6.003,30,168.802136
5.998,20,169.228232
5.9986,14,169.228232
5.9981,19,169.62032
1.9971977,28,170.176446
5.9987,13,170.250462
4.9978995,21,170.580552
5.9982,18,170.65957
3.997702,23,171.488756
-6.003,30,171.488756
-6.003,30,171.488756
-10.003002,30,171.488756
-6.003,30,171.488756
-6.003,30,171.488756
12.484197,158,171.652794
5.9986,14,171.72981
5.998,20,172.190914
15.483689,163,172.190914
15.483691,163,172.190914
5.4981,19,172.512987
1.4971977,28,172.760043
5.9986,14,172.919078
5.9987,13,173.244394
5.9984,16,173.326412
13.484491,155,173.48983
5.9988,12,173.893498
5.9986,14,173.893498
5.4979997,20,174.138553
-6.003,30,174.21557
-6.003,30,174.21557
-6.5030003,30,174.21557
-6.003,30,174.21557
-6.003,30,174.21557
5.9987,13,174.299589
5.9981,19,175.164289
5.9989,11,175.503366
5.9983,17,175.585384
5.998,20,176.069494
5.9988,12,176.148511
3.497502,25,176.228623
5.9983,17,176.931451
-7.0030003,30,176.931451
-6.003,30,176.931451
-6.003,30,176.931451
-6.003,30,176.931451
-6.003,30,176.931451
5.9987,13,177.253525
5.9983,17,177.410559
3.997602,24,177.410559
3.997702,23,178.244747
5.9986,14,178.323765
5.9988,12,178.652839
5.4981,19,179.212965
4.4978,22,179.298984
5.9987,13,179.384003
5.9983,17,179.614055
-8.503,30,179.614055
-7.0030003,30,179.614055
-9.002997,30,179.614055
-6.003,30,179.614055
-6.003,30,179.614055
5.9987,13,180.245743
5.9986,14,180.756821
5.9988,12,180.831837
3.497602,24,180.831837
5.4979997,20,181.158911
5.9984,16,182.125347
5.4979997,20,182.125347
-6.003,30,182.285383
-6.003,30,182.285383
-7.5030003,30,182.285383
-6.003,30,182.285383
-11.003002,30,182.285383
5.4979997,20,182.364401
5.9982,18,182.602454
3.497602,24,182.769492
5.9981,19,183.913749
5.9983,17,183.997769
5.9987,13,184.077786
3.997602,24,184.31684
-6.003,30,184.95249
-6.5030003,30,184.95249
-17.003002,30,184.95249
-9.002997,30,184.95249
-8.502997,30,184.95249
5.9985,15,185.187542
5.9981,19,185.429596
5.998,20,185.675652
-2.5037029,37,185.84469
5.998,20,185.926709
12.983991,160,185.926709
16.48419,158,186.010728
11.483691,163,186.725888
5.9984,16,187.054964
5.9986,14,187.373034
5.9983,17,187.373034
5.9983,17,187.538071
-6.003,30,187.697107
-12.503002,30,187.697107
-6.003,30,187.697107
-7.0030003,30,187.697107
-6.003,30,187.697107
14.983992,160,187.772124
0.9970976,29,187.851142
5.9988,12,188.345254
5.9982,18,188.495287
5.9982,18,188.833363
5.9983,17,188.913381
5.9986,14,189.804086
2.4974022,26,190.297197
5.9984,16,190.458233
-6.003,30,190.458233
-6.003,30,190.458233
-8.002997,30,190.458233
-11.503002,30,190.458233
-6.003,30,190.458233
5.9984,16,190.539252
5.9986,14,190.925339
-0.5032028,32,191.403447
5.9984,16,191.558481
5.9985,15,191.717517
5.9982,18,192.147614
5.4982,18,192.61772
5.9989,11,192.696737
5.9985,15,192.847771
-6.003,30,193.093827
-6.003,30,193.093827
-6.003,30,193.094827
-10.003,30,193.094827
-9.502998,30,193.094827
5.9982,18,193.424902
5.9982,18,193.589939
5.9987,13,193.757977
5.9985,15,193.836995
4.9978995,21,194.548155
5.9985,15,194.624684
5.9987,13,195.14831
5.9984,16,195.302345
4.4978995,21,195.53417
-6.003,30,195.775224
-6.003,30,195.775224
-6.003,30,195.775224
-6.003,30,195.775224
-6.003,30,195.775224
5.9987,13,196.173314
5.9982,18,196.328349
5.4979997,20,196.878473
5.9983,17,196.878473
0.49679723,32,197.363581
3.997502,25,198.38832
-6.003,30,198.38832
-6.003,30,198.38832
-6.003,30,198.38832
-6.5030003,30,198.38832
-7.5030003,30,198.38832
2.497502,25,198.547356
4.9978995,21,198.78783
3.997702,23,199.423973
1.4969975,30,199.506991
5.9985,15,199.59001
5.9985,15,199.746046
5.9985,15,200.001626
12.983995,160,200.150659
15.483991,160,200.231678
5.9987,13,200.768816
5.9991,9,200.768816
-6.003,30,201.09689
-11.503,30,201.09689
-8.502997,30,201.09689
-6.003,30,201.09689
-6.003,30,201.09689
5.9981,19,201.341945
13.983496,165,201.341945
5.4981,19,201.836056
2.997502,25,201.917074
15.984092,159,201.917074
5.9981,19,202.329167
5.4979997,20,202.406187
5.9985,15,202.565091
5.9988,12,202.866159
5.9984,16,203.119216
-6.003,30,203.842809
-6.003,30,203.842809
-9.002998,30,203.842809
-6.003,30,203.842809
-6.003,30,203.842809
5.9986,14,204.011163
5.9982,18,204.093181
5.4981,19,204.249216
-147.55365,523,204.334235
5.9984,16,204.493271
4.9978,22,205.203431
5.9983,17,205.368468
5.9983,17,205.453487
5.9981,19,205.784562
5.9983,17,205.86758
-6.003,30,206.581742
-6.003,30,206.582743
-6.003,30,206.582743
-8.002997,30,206.582743
-9.002997,30,206.582743
5.9989,11,206.66676
5.9984,16,206.834798
5.9986,14,207.332911
5.9989,11,207.589968
3.997602,24,207.665986
5.4978995,21,207.826021
5.9986,14,208.467166
2.997502,25,208.883765
-7.5030003,30,209.353871
-6.003,30,209.353871
-13.502999,30,209.353871
